,date,title,Zürich,Bern,Luzern,Uri,Schwyz,Obwalden,Nidwalden,Glarus,Zug,Freiburg,Solothurn,Basel-Stadt,Basel-Landschaft,Schaffhausen,Appenzell A.-Rh.,Appenzell I.-Rh.,St. Gallen,Graubünden,Aargau,Thurgau,Tessin,Waadt,Wallis,Neuenburg,Genf,Jura
18,11.05.1884,Bundesbeschluss betreffend Gewährung eines Beitrags von 10'000 Franken an die Kanzleikosten der schweizerischen Gesandtschaft in Washington,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,
19,25.10.1885,Bundesbeschluss betreffend teilweise Aenderung der Bundesverfassung der schweizerischen Eidgenossenschaft (Wirtschaftswesen und Alkoholfrage),1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,
20,15.05.1887,Bundesgesetz betreffend gebrannte Wasser,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,
21,10.07.1887,Bundesbeschluss betreffend Ergänzung des Artikels 64 der Bundesverfassung vom 29. Mai 1874,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
22,17.11.1889,Bundesgesetz über Schuldbetreibung und Konkurs,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,
23,26.10.1890,Bundesbeschluss betreffend Ergänzung der Bundesverfassung vom 29. Mai 1874 durch einen Zusatz bezüglich des Gesetzgebungsrechtes über Unfall- und Krankenversicherung,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,
24,15.03.1891,Bundesgesetz betreffend die arbeitsunfähig gewordenen eidgenössischen Beamten und Angestellten,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
25,05.07.1891,Bundesbeschluss betreffend Revision der Bundesverfassung,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,
26,18.10.1891,Bundesbeschluss betreffend Revision von Art. 39 der Bundesverfassung,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,
27,18.10.1891,Bundesgesetz betreffend den schweizerischen Zolltarif,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
28,06.12.1891,Bundesbeschluss betreffend den Ankauf der schweizerischen Centralbahn,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
29,20.08.1893,Eidgenössische Volksinitiative 'für ein Verbot des Schlachtens ohne vorherige Betäubung',1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,
30,04.03.1894,Bundesbeschluss vom 20. Dezember 1893 betreffend Ergänzung der Bundesverfassung durch einen Zusatz bezüglich des Rechts der Gesetzgebung über das Gewerbewesen,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,
31,03.06.1894,Eidgenössische Volksinitiative 'zur Gewährleistung des Rechts auf Arbeit',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,04.11.1894,Eidgenössische Volksinitiative 'zur Abgabe eines Teils der Zolleinnahmen an die Kantone',0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
33,03.02.1895,Bundesgesetz betreffend die Vertretung der Schweiz im Auslande,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,
34,29.09.1895,Bundesbeschluss über die Ergänzung der Bundesverfassung durch Zusatzbestimmungen betreffend die Einführung des Zündhölzchenmonopols,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,
35,03.11.1895,Bundesbeschluss über die Revision der Militärartikel der Bundesverfassung,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,
36,04.10.1896,Bundesgesetz betreffend die Gewährleistung beim Viehhandel,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,
37,04.10.1896,Bundesgesetz über das Rechnungswesen der Eisenbahnen,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,
38,04.10.1896,Bundesgesetz betreffend die Disciplinarstrafordnung für die eidgenössische Armee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,28.02.1897,Bundesgesetz über die Errichtung der schweizerischen Bundesbank,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,
40,11.07.1897,Bundesbeschluss über die Revision des Art. 24 der Bundesverfassung,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,
41,11.07.1897,"Bundesbeschluss betreffend Bundesgesetzgebung über den Verkehr mit Nahrungs- und Genussmitteln und mit solchen Gebrauchs- und Verbrauchsgegenständen, welche das Leben oder die Gesundheit gefährden können",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,
42,20.02.1898,Bundesgesetz betreffend die Erwerbung und den Betrieb von Eisenbahnen für Rechnung des Bundes und die Organisation der Verwaltung der schweizerischen Bundesbahnen,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,
43,13.11.1898,Bundesbeschluss betreffend Revision des Artikels 64 der Bundesverfassung,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,
44,13.11.1898,Bundesbeschluss betreffend Aufnahme eines Artikels 64bis in die Bundesverfassung,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,
45,20.05.1900,Bundesgesetz betreffend die Kranken- und Unfallversicherung mit Einschluss der Militärversicherung,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,04.11.1900,Eidgenössische Volksinitiative 'für die Proporzwahl des Nationalrates',0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,
47,04.11.1900,Eidgenössische Volksinitiative 'für die Volkswahl des Bundesrates und die Vermehrung der Mitgliederzahl',0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
48,23.11.1902,Bundesbeschluss betreffend die Unterstützung der öffentlichen Primarschule durch den Bund,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
49,15.03.1903,Bundesgesetz betreffend den schweizerischen Zolltarif,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,
50,25.10.1903,Bundesgesetz betreffend Ergänzung des Bundesgesetzes über das Bundesstrafrecht der schweizerischen Eidgenossenschaft vom 4. Februar 1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,25.10.1903,Eidgenössische Volksinitiative 'für die Wahl des Nationalrates aufgrund der Schweizer Wohnbevölkerung',0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
52,25.10.1903,Bundesbeschluss betreffend Abänderung des Art. 32bis der Bundesverfassung,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
53,19.03.1905,Bundesbeschluss betreffend Revision des Art. 64 der Bundesverfassung (Ausdehnung des Erfinderschutzes),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
54,10.06.1906,Bundesgesetz betreffend den Verkehr mit Lebensmitteln und Gebrauchsgegenständen,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,
55,03.11.1907,Militärorganisation der schweizerischen Eidgenossenschaft,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,
56,05.07.1908,Bundesbeschluss betreffend Ergänzung der Bundesverfassung bezüglich des Rechts der Gesetzgebung über das Gewerbewesen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
57,05.07.1908,Eidgenössische Volksinitiative 'für ein Absinthverbot',1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
58,25.10.1908,Bundesbeschluss  betreffend die Gesetzgebung des Bundes über die Nutzbarmachung der Wasserkräfte und über die Fortleitung und die Abgabe der elektrischen Energie (Gegenentwurf: Aufnahme eines Zusatzartikels 24bis in die Bundesverfassung),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
59,23.10.1910,Eidgenössische Volksinitiative 'für die Proporzwahl des Nationalrates',0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,
60,04.02.1912,Bundesgesetz über die Kranken- und Unfallversicherung,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,
61,04.05.1913,"Bundesbeschluss betreffend Revision der Artikel 69 und 31, 2.Absatz, lit.d, der Bundesverfassung (Bekämpfung menschlicher und tierischer Krankheiten)",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,
62,25.10.1914,Bundesbeschluss betreffend Revision von Art. 103 der Bundesverfassung und Aufnahme eines Artikels 114bis in die Bundesverfassung,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,
63,06.06.1915,Bundesbeschluss betreffend Erlass eines Artikels der Bundesverfassung zur Erhebung einer einmaligen Kriegssteuer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
